Work Item Type,Title,Area Path,Tags,Model Name,Object Type,Table Name,Measure Name,Definition,Format String,Display Folder,Hidden,Lifecycle Status,Governance Status,Source Artefact,Business Definition,Technical Notes,Dependencies,Replacement Measure,Owner,Validation Status
Task,Measure register: Forecast Outturn,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Forecast Outturn,[PL Forecast Outturn GBP],General,FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[PL Forecast Outturn GBP],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Budget FY,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Budget FY,"CALCULATE( [Budget GBP (Display)], 'cg_Time_Intelligence'[Time Calc] = ""Full Year"" )",General,FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Budget GBP (Display)]; [Time Calc],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: PL Budget Outturn GBP,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,PL Budget Outturn GBP,"VAR _year = [Selected Fiscal Year From Key] VAR _period = [Selected Fiscal Period From Key] VAR _futurePeriodTable = FILTER( ALL( dim_date ), dim_date[FiscalYearNumber] = _year && dim_date[FiscalMonthNumber] > _period ) VAR _actualYTD = CALCULATE( [Actual GBP (Display)], REMOVEFILTERS(dim_date), dim_date[FiscalYearNumber] = _year, dim_date[FiscalMonthNumber] <= _period ) VAR _budgetRemainder = CALCULATE( [Budget GBP (Display)], REMOVEFILTERS(dim_date), TREATAS( SELECTCOLUMNS(_futurePeriodTable, [DateKey]), fact_gl_balances[DateKey] -- or the matching key column ) ) RETURN _actualYTD + _budgetRemainder",General Number (PBI_FormatHint),_Core GL\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Display)]; [Budget GBP (Display)]; [DateKey]; [Selected Fiscal Period From Key]; [Selected Fiscal Year From Key],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Budget Outturn,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Budget Outturn,[PL Budget Outturn GBP],General,FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[PL Budget Outturn GBP],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Var Budget Outturn,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Var Budget Outturn,"VAR _outturn = CALCULATE( [PL Forecast Outturn GBP], 'cg_Time_Intelligence'[Time Calc] = ""Full Year"" ) VAR _plan = CALCULATE( [Budget GBP (Display)], 'cg_Time_Intelligence'[Time Calc] = ""Full Year"" ) RETURN _outturn - _plan",General,FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Budget GBP (Display)]; [PL Forecast Outturn GBP]; [Time Calc],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Var Budget Outturn %,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Var Budget Outturn %,"VAR _outturn = [Budget Outturn] VAR _budget = [Budget FY] RETURN IF( ISBLANK(_budget) || ABS(_budget) < 0.005, BLANK(), DIVIDE(_outturn - _budget, _budget) )",0.00%;-0.00%;0.00%,FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Budget FY]; [Budget Outturn],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: _Column Visible,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,_Column Visible,"VAR _view = SELECTEDVALUE( 'Statement View'[ViewKey], ""FULL"" ) VAR _group = SELECTEDVALUE( 'Statement Parameter'[ViewKey], """" ) -- Value5 is the 5th column of your parameter (MTD / YTD / OUTTURN) RETURN SWITCH( TRUE(), _view = ""STD"" && _group = ""OUTTURN"", 0, -- STD hides Outturn _view = ""OUT"" && _group = ""MTD"", 0, -- OUT hides MTD _view = ""OUT"" && _group = ""YTD"", 0, -- OUT hides YTD 1 -- FULL shows everything )",General Number (PBI_FormatHint),_Helpers,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[ViewKey],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: _Selected View,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,_Selected View,"VAR _sel = SELECTEDVALUE( 'Statement View'[ViewKey], ""FULL"" ) RETURN _sel",General Number (PBI_FormatHint),_Helpers,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[ViewKey],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Statement Display Value,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Statement Display Value,"VAR _view = SELECTEDVALUE( 'Statement View'[ViewKey], ""FULL"" ) VAR _group = SELECTEDVALUE( 'Statement Parameter'[ViewKey], """" ) VAR _field = SELECTEDVALUE( 'Statement Parameter'[Statement Field Value], """" ) VAR _show = SWITCH( TRUE(), _view = ""STD"" && _group = ""OUTTURN"", 0, _view = ""OUT"" && _group = ""MTD"", 0, _view = ""OUT"" && _group = ""YTD"", 0, 1 ) VAR _value = SWITCH( _field, ""'_Measures'[Actual MTD]"", [Actual MTD], ""'_Measures'[Budget MTD]"", [Budget MTD], ""'_Measures'[Var Budget MTD]"", [Var Budget MTD], ""'_Measures'[Var Budget MTD %]"", [Var Budget MTD %], ""'_Measures'[Actual YTD]"", [Actual YTD], ""'_Measures'[Budget YTD]"", [Budget YTD], ""'_Measures'[Var Budget YTD]"", [Var Budget YTD], ""'_Measures'[Var Budget YTD %]"", [Var Budget YTD %], ""'_Measures'[Forecast Outturn]"", [Forecast Outturn], ""'_Measures'[PL Budget FY]"", [Budget FY], ""'_Measures'[Var Budget Outturn]"", [Var Budget Outturn], ""'_Measures'[Var Budget Outturn %]"", [Var Budget Outturn %], BLANK() ) RETURN IF( _show = 0, BLANK(), _value )",General Number (PBI_FormatHint),_Helpers,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual MTD]; [Actual YTD]; [Budget FY]; [Budget MTD]; [Budget YTD]; [Forecast Outturn]; [PL Budget FY]; [Statement Field Value]; [Var Budget MTD]; [Var Budget MTD %]; [Var Budget Outturn]; [Var Budget Outturn %]; [Var Budget YTD]; [Var Budget YTD %]; [ViewKey],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Dynamic I&E Summary Title,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Dynamic I&E Summary Title,"VAR _format = [Selected Statement Unit Format] VAR _label = SWITCH([Selected Statement Unit Format], ""#,##0.0"", ""(£000')"", ""#,##0.00"", ""(£M )"", ""(£ )"" ) RETURN ""Income & Expense Statement "" & _label",General Number (PBI_FormatHint),Dynamic Titles,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Selected Statement Unit Format],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: MoM Direction (RLS Safe),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,MoM Direction (RLS Safe),"VAR StatementClass = SELECTEDVALUE ( dim_accounts[StatementClass], ""UNKNOWN"" ) VAR IsPL = StatementClass = ""SOCI"" VAR VarValue = COALESCE ( [MoM], 0 ) VAR IsExpense = SELECTEDVALUE ( dim_accounts[Level7Name] ) = ""Cost"" RETURN IF ( NOT IsPL, 0, SWITCH ( TRUE(), -- No movement VarValue = 0, 0, -- EXPENSE LOGIC (Costs) IsExpense && VarValue > 0, 1, -- ↑ cost = adverse IsExpense && VarValue < 0, -1, -- ↓ cost = favourable -- INCOME LOGIC (everything else) NOT IsExpense && VarValue > 0, 1, -- ↑ income = favourable NOT IsExpense && VarValue < 0, -1, -- ↓ income = adverse 0 ) )",General Number (PBI_FormatHint),FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[MoM],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: MoM Arrow Color,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,MoM Arrow Color,"VAR Dir = [MoM Direction (RLS Safe)] RETURN SWITCH( Dir, 1, ""#1BAA1B"", -- green -1, ""#D91E1E"", -- red ""#000000"" -- neutral black )",General Number (PBI_FormatHint),FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[MoM Direction (RLS Safe)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual PMTD,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual PMTD,"VAR IsPL = MAX(dim_accounts[BalSheetClass]) = ""PL"" VAR _Curr = [Actual GBP (Display)] VAR _PrevRaw = IF( IsPL, CALCULATE( [Actual GBP (Display)], 'cg_Time_Intelligence'[Time Calc] = ""Prior Period"" ), BLANK() -- prevents TI calc group overriding BS rows ) VAR _Prev = IF( IsPL, COALESCE(_PrevRaw, _Curr), BLANK() ) RETURN _Prev",General Number (PBI_FormatHint),FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Display)]; [Time Calc],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: PL Accounts,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,PL Accounts,"SELECTEDVALUE(dim_accounts[BalSheetClass]) = ""PL""",General Number (PBI_FormatHint),_Core GL\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: YoY YTD,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,YoY YTD,"CALCULATE( [Actual GBP (Display)], 'cg_Time_Intelligence'[Time Calc] = ""YoY YTD"" )",General Number (PBI_FormatHint),FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Display)]; [Time Calc],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: YoY YTD Direction,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,YoY YTD Direction,"VAR IsPL = NOT ISEMPTY( FILTER( ALLSELECTED(dim_accounts), dim_accounts[StatementClass] = ""SOCI"" ) ) VAR Curr = [YoY YTD (RLS Safe)] VAR Prev = CALCULATE( SELECTEDMEASURE(), 'cg_Time_Intelligence'[Time Calc] = ""Prior Year YTD"" ) VAR _Var = Curr RETURN IF( NOT IsPL, 0, -- BS always neutral IF( Curr >= 0, IF(_Var > 0, -1, IF(_Var < 0, 1, 0)), -- Expenses IF(_Var > 0, 1, IF(_Var < 0, -1, 0)) -- Income ) )",General Number (PBI_FormatHint),FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Time Calc]; [YoY YTD (RLS Safe)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: YoY YTD Arrow,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,YoY YTD Arrow,"VAR Dir = [YoY YTD Direction] VAR UpTriangle = UNICHAR(9650) VAR DownTriangle = UNICHAR(9660) RETURN SWITCH( Dir, 1, UpTriangle, -1, DownTriangle, BLANK() )",General Number (PBI_FormatHint),FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[YoY YTD Direction],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: YoY YTD Display,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,YoY YTD Display,"VAR ValueText = FORMAT([YoY YTD (RLS Safe)], ""#,0.0"") RETURN ValueText & "" "" & [YoY YTD Arrow]",General Number (PBI_FormatHint),FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[YoY YTD (RLS Safe)]; [YoY YTD Arrow],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: MoM,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,MoM,"CALCULATE( [Actual GBP (Display)], 'cg_Time_Intelligence'[Time Calc] = ""MoM"" )",General Number (PBI_FormatHint),FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Display)]; [Time Calc],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: MoM Arrow,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,MoM Arrow,"VAR Dir = [MoM Direction (RLS Safe)] VAR UpTriangle = UNICHAR(9650) VAR DownTriangle = UNICHAR(9660) RETURN SWITCH( Dir, 1, UpTriangle, -1, DownTriangle, BLANK() )",General Number (PBI_FormatHint),FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[MoM Direction (RLS Safe)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: MoM Display,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,MoM Display,"VAR ValueText = FORMAT([MoM], [Selected Statement Unit Format]) RETURN ValueText & "" "" & [MoM Arrow]",General Number (PBI_FormatHint),,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[MoM]; [MoM Arrow]; [Selected Statement Unit Format],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: YoY Arrow Color,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,YoY Arrow Color,"VAR Dir = [YoY YTD Direction] RETURN SWITCH( Dir, 1, ""#1BAA1B"", -- green -1, ""#D91E1E"", -- red ""#000000"" -- neutral black )",General Number (PBI_FormatHint),FS Presentation\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[YoY YTD Direction],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual GBP (GLX) Base,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual GBP (GLX) Base,SUM(fact_gl_transactions[SignedAmount]),General Number (PBI_FormatHint),_Base,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: NHSP Pay GBP (Scaled),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,NHSP Pay GBP (Scaled),"CALCULATE( [Actual GBP (GLX) Base], -- Activate the appropriate date relationship USERELATIONSHIP(dim_date[DateKey], fact_gl_transactions[DateKey]), -- Apply fixed filters in a safe, non-destructive way KEEPFILTERS( TREATAS( {""NH""}, fact_gl_transactions[GlSubTypeId] ) ) )",General Number (PBI_FormatHint),_Core GL\PL,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (GLX) Base],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Selected Display Mode,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Selected Display Mode,"SELECTEDVALUE('Value Display Mode'[Mode], ""Signed"")",General Number (PBI_FormatHint),,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Mode],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual WTC,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual WTC,"CALCULATE( [Actual WTC (Display)], 'cg_Time_Intelligence'[Time Calc] = ""Current Period"" )",General Number (PBI_FormatHint),FS Presentation\WF,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual WTC (Display)]; [Time Calc],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual WTW,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual WTW,"CALCULATE( [Actual WTW (Display)], 'cg_Time_Intelligence'[Time Calc] = ""Current Period"" )",General Number (PBI_FormatHint),FS Presentation\WF,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual WTW (Display)]; [Time Calc],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual WTP,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual WTP,"CALCULATE( [Actual WTP (Display)], 'cg_Time_Intelligence'[Time Calc] = ""Current Period"" )",General Number (PBI_FormatHint),FS Presentation\WF,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual WTP (Display)]; [Time Calc],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual WTC (Display),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual WTC (Display),"Calculate( [Actual WTC (GLX) Base], KEEPFILTERS( LEFT(fact_gl_transactions[Uom],2) = ""WT"" ) )",General Number (PBI_FormatHint),_Core GL\WF,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual WTC (GLX) Base],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual WTW (Display),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual WTW (Display),"Calculate( [Actual WTW (GLX) Base], dim_accounts[Level8Name] = ""Pay"", KEEPFILTERS( fact_gl_transactions[IsWorkforceTransaction] = TRUE ), KEEPFILTERS( LEFT(fact_gl_transactions[Uom],2) = ""WT"" ) )",General Number (PBI_FormatHint),_Core GL\WF,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual WTW (GLX) Base],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual WTP (Display),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual WTP (Display),"Calculate( [Actual WTP (GLX) Base], KEEPFILTERS( LEFT(fact_gl_transactions[Uom],2) = ""WT"" ) )",General Number (PBI_FormatHint),_Core GL\WF,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual WTP (GLX) Base],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: _Flow Items,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,_Flow Items,"{ ""YTD"", ""Full Year"", ""Prior Year"", ""Prior Year YTD"", ""MoM"", ""MoM %"", ""YoY"", ""YoY %"", ""YoY YTD"", ""YoY YTD %"" }",General Number (PBI_FormatHint),Constants,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual GBP Movement,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual GBP Movement,"-- Period movement only — excludes opening balance rows CALCULATE( [Actual GBP (Scaled)], fact_gl_balances[IsOpeningBalance] = FALSE )",General Number (PBI_FormatHint),_Core GL\BS,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Scaled)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual GBP BS,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual GBP BS,"-- Closing balance — opening rows included via DateKey join, no filter needed [Actual GBP (Scaled)]",General Number (PBI_FormatHint),_Core GL\BS,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Scaled)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Amount Pre-Adjustment,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Amount Pre-Adjustment,"CALCULATE( [Actual GBP (Scaled)], fact_gl_balances[BSPLFlag] = ""B"", fact_gl_balances[IsAdjustmentPeriod] = FALSE )",General Number (PBI_FormatHint),_Core GL\BS,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Scaled)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Closing Balance (Scaled),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Closing Balance (Scaled),"-- Reconstructs the cumulative BS closing balance from period movements. -- Prior year full closing + current year movements to date. -- IsOpeningBalance rows excluded — they net to zero in aggregate. VAR _fy = SELECTEDVALUE(dim_date[FiscalYearNumber]) VAR _fp = SELECTEDVALUE(dim_date[FiscalMonthNumber]) RETURN IF( ISBLANK(_fy) || ISBLANK(_fp), BLANK(), CALCULATE( [BS Amount (Scaled)], REMOVEFILTERS(dim_date), dim_date[FiscalYearNumber] = _fy - 1, fact_gl_balances[IsOpeningBalance] = FALSE ) + CALCULATE( [Actual GBP (Scaled)], REMOVEFILTERS(dim_date), dim_date[FiscalYearNumber] = _fy, dim_date[FiscalMonthNumber] <= _fp, fact_gl_balances[IsOpeningBalance] = FALSE ) )",General Number (PBI_FormatHint),_Core GL\BS,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Scaled)]; [BS Amount (Scaled)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Budget WTC AVG,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Budget WTC AVG,"DIVIDE( [Budget GBP (Display)], [Budget WTC Base] )",General Number (PBI_FormatHint),FS Presentation\WF,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Budget GBP (Display)]; [Budget WTC Base],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual WTW (GLX) Base,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual WTW (GLX) Base,SUM(fact_gl_transactions[Wtw]),General Number (PBI_FormatHint),_Base,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual WTP (GLX) Base,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual WTP (GLX) Base,SUM(fact_gl_transactions[Wtp]),General Number (PBI_FormatHint),_Base,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual WTC (GLX) Base,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual WTC (GLX) Base,SUM(fact_gl_transactions[Wtc]),General Number (PBI_FormatHint),_Base,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual HCT (GLX) Base,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual HCT (GLX) Base,SUM(fact_gl_transactions[Hct]),General Number (PBI_FormatHint),_Base,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
